Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,P_avg,Ot_avg,Ot_min,Ot_max,Ot_std
10.65,6.6399999,15.17,1.55,177.5,145.42,212.00999,10.02,1574.9399,4.8600001,4.6999998,4.9000001,0.07
10.97,6.3600001,15.53,1.78,171.42999,128.88,197.96001,9.5299997,1618.2,4.2199998,4.1999998,4.4000001,0.050000001
10.68,5.3899999,15.5,1.76,292.26001,255.25999,323.98999,11.13,1611.99,4.9099998,4.6999998,5.0,0.090000004
11.21,6.6900001,16.110001,1.84,171.62,131.42,203.67,9.75,1620.24,4.3899999,4.1999998,4.5,0.050000001
10.91,6.6700001,16.280001,1.65,170.71001,138.05,201.97,9.8199997,1604.3101,4.8200002,4.8000002,5.0,0.039999999
10.54,6.6999998,14.81,1.74,181.24001,143.97,226.00999,11.29,1547.42,4.9000001,4.8000002,4.9499998,0.0099999998
10.3,5.3299999,14.51,1.64,172.25999,139.61,204.24001,10.21,1507.05,4.4299998,4.4000001,4.5,0.039999999
10.93,6.6700001,14.71,1.7000000000000002,180.0,150.17,209.2,9.9700003,1619.84,4.9000001,4.8000002,4.9499998,0.0099999998
10.41,6.46,14.8,1.37,169.77,139.36,195.59,8.9700003,1525.02,4.9899998,4.8000002,5.0,0.039999999
10.28,6.4299998,14.65,1.78,291.70001,256.75,323.45999,9.79,1441.71,5.0,4.9000001,5.0500002,0.0099999998
9.6000004,6.1399999,13.25,1.39,169.77,7.6100001,203.0,11.88,1351.78,5.04,5.0,5.0999999,0.039999999
10.28,6.4499998,14.04,1.46,171.5,136.77,197.66,9.6099997,1468.53,4.5,4.4000001,4.5,0.0099999998
9.4099998,6.0500002,13.77,1.4299999,292.97,249.89999,322.70001,10.73,1237.5601,5.0500002,5.0,5.0999999,0.050000001
10.33,5.25,13.7,1.52,178.36,145.87,207.56,10.04,1500.55,4.9299998,4.9000001,5.0,0.039999999
10.17,6.4899998,14.84,1.53,172.42,133.53999,207.84,11.41,1417.61,4.5100002,4.5,4.6999998,0.029999999
10.18,6.1900001,14.67,1.54,170.24001,134.84,195.17,9.4899998,1462.3101,5.1599998,5.0999999,5.3000002,0.079999998
9.5900002,5.6300001,16.120001,1.66,291.70999,235.72,325.14001,11.96,1249.97,5.27,5.0999999,5.3000002,0.07
11.15,7.25,14.78,1.3200001,178.58,152.92,204.25999,9.0699997,1724.24,5.0,4.9000001,5.0999999,0.0099999998
10.65,6.2199998,15.49,1.8099999,292.95999,245.17,332.64999,11.54,1544.72,5.27,5.0999999,5.4000001,0.11
11.18,6.2199998,15.71,1.7000000000000002,172.47,129.63,200.03999,10.29,1672.3101,4.6300001,4.5,4.8000002,0.090000004
10.29,6.4699998,15.67,1.75,168.28,123.88,206.91,10.92,1446.21,5.2800002,5.0,5.5999999,0.16
10.79,6.6599998,16.030001,1.72,180.37,148.78,216.86,10.92,1594.64,5.0599999,5.0,5.1999998,0.090000004
11.05,5.6900001,17.469999,2.0999999,180.38,148.61,230.97,11.02,1643.7,5.0900002,5.0,5.1999998,0.090000004
11.09,6.6999998,15.91,1.71,170.7,123.68,202.12,11.07,1632.6899,5.02,5.0,5.0999999,0.029999999
10.62,5.7399998,17.450001,1.92,166.14,134.06,215.89999,12.07,1481.0,4.6799998,4.5,4.6999998,0.039999999
11.41,7.3200002,17.709999,1.89,291.70001,266.10001,322.38,10.06,1719.0699,5.3600001,5.3000002,5.4000001,0.039999999
10.8,6.3099999,15.62,1.9,169.16,147.69,278.39999,11.63,1477.89,4.6799998,4.5,4.6999998,0.039999999
11.58,7.1700001,16.02,1.67,171.19,138.48,198.44,8.6899996,1722.83,5.02,5.0,5.0999999,0.029999999
11.73,7.0500002,17.65,2.45,180.78999,150.00999,208.48,10.08,1708.33,5.1900001,5.0,5.3000002,0.050000001
11.03,7.5,15.4,1.58,292.42001,255.74001,320.89999,9.8199997,1638.08,5.3899999,5.3000002,5.4000001,0.02
10.51,6.5799999,14.5,1.63,169.82001,134.28999,196.14999,9.5600004,1513.48,5.0300002,5.0,5.0999999,0.039999999
10.23,5.5799999,13.95,1.38,293.06,262.92999,320.51001,10.56,1425.54,5.4000001,5.3000002,5.5,0.0099999998
11.05,5.8200002,15.63,1.88,171.67999,111.53,321.76001,12.58,1583.33,4.5599999,4.5,4.6999998,0.079999998
10.41,5.25,14.99,1.65,178.97,153.62,205.49001,9.7299995,1517.4301,5.0999999,5.0,5.25,0.1
10.24,6.77,14.54,1.4400001,171.55,140.84,205.03999,10.7,1449.64,4.6500001,4.5,4.6999998,0.059999999
10.6,6.5900002,16.09,1.72,184.58,140.12,260.60999,11.74,1510.89,5.1700001,5.0,5.1999998,0.059999999
9.5500002,5.4499998,13.47,1.45,172.34,144.0,197.46001,9.5600004,1245.39,5.0700002,5.0,5.0999999,0.039999999
9.8299999,5.7800002,14.6,1.5599999,296.59,260.42001,332.35999,11.5,1311.8101,5.4000001,5.4000001,5.5,0.0099999998
11.12,7.1599998,15.64,1.6,184.8,149.85001,213.83,9.9099998,1652.64,5.1399999,5.0,5.1999998,0.079999998
10.35,5.9899998,14.41,1.58,299.51001,259.29999,348.94,11.07,1485.28,5.4000001,5.4000001,5.4000001,0.0
10.0,6.1799998,15.04,1.62,175.61,141.88,199.00999,10.17,1424.54,4.5900002,4.5,4.6999998,0.07
9.8199997,6.4400001,14.03,1.39,174.11,137.58,220.60001,10.56,1325.33,5.0999999,5.0500002,5.1999998,0.0099999998
9.3699999,5.4299998,14.47,1.73,177.56,142.42,209.98,11.71,1232.12,4.71,4.5,4.9000001,0.050000001
9.8800001,5.9400001,13.71,1.5700001,185.2,150.21001,213.21001,10.21,1368.42,5.1999998,5.0999999,5.1999998,0.02
10.51,6.0799999,14.56,1.52,298.51001,266.28,333.01999,9.5200005,1519.35,5.48,5.4000001,5.5999999,0.090000004
